bw,dim,gpus,seqlen,method,mem,time,tflops,toks,params,std
low,7b,8,1024,tp,6.46,1.6502,6.36,1245.26,6.74,0.17
low,7b,8,1024,tp+flash,5.99,1.406,7.46,1459.82,6.74,0.04
low,7b,8,1024,ring,28.03,1.2932,8.38,1641.41,6.74,0.09
low,7b,8,1024,burst,27.6,0.964,11.01,2155.36,6.74,0.04
low,7b,8,1024,burst+flash,27.55,0.9189,11.44,2240.14,6.74,0.06
low,7b,8,2048,tp,9.61,2.2033,9.9,1864.93,6.74,0.1
low,7b,8,2048,tp+flash,7.64,2.228,9.77,1839.68,6.74,0.05
low,7b,8,2048,ring,31.2,1.8013,12.32,2321.17,6.74,0.07
low,7b,8,2048,burst,29.32,2.0546,10.61,1997.87,6.74,0.11
low,7b,8,2048,burst+flash,29.23,2.0101,10.86,2046.51,6.74,0.1
low,7b,8,4096,tp,18.99,4.1642,11.24,1967.36,6.74,0.09
low,7b,8,4096,tp+flash,11.08,4.1223,11.37,1990.56,6.74,0.1
low,7b,8,4096,ring,40.8,2.9086,16.22,2839.68,6.74,0.2
low,7b,8,4096,burst,33.05,3.489,13.54,2370.77,6.74,0.22
low,7b,8,4096,burst+flash,32.93,3.7718,12.48,2186.16,6.74,0.1
low,7b,8,8192,tp,50.9,8.1963,13.03,1998.96,6.74,0.03
low,7b,8,8192,tp+flash,17.86,8.2266,12.98,1991.58,6.74,0.09
low,7b,8,8192,ring,72.59,5.8839,18.24,2798.64,6.74,0.09
low,7b,8,8192,burst,40.51,4.4485,24.41,3745.3,6.74,0.03
low,7b,8,8192,burst+flash,40.26,6.4099,16.66,2556.03,6.74,0.32
low,7b,8,16384,tp,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,16384,tp+flash,31.42,16.9067,15.75,1938.16,6.74,0.04
low,7b,8,16384,ring,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,16384,burst,55.42,8.9383,29.9,3679.4,6.74,0.16
low,7b,8,16384,burst+flash,54.68,10.19,26.28,3233.39,6.74,0.24
low,7b,8,32768,tp,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,32768,tp+flash,58.76,36.957,20.12,1773.38,6.74,0.18
low,7b,8,32768,ring,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,32768,burst,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,32768,burst+flash,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,1024,burst+flash+zero,6.42,5.661,1.85,361.78,6.74,0.08
low,7b,8,2048,burst+flash+zero,7.93,6.3185,3.44,648.44,6.74,0.13
low,7b,8,4096,burst+flash+zero,11.01,7.4154,6.32,1106.49,6.74,0.07
low,7b,8,8192,burst+flash+zero,18.28,9.7792,11.0,1688.61,6.74,0.27
low,7b,8,16384,burst+flash+zero,32.72,13.4884,19.74,2429.56,6.74,0.24
low,7b,8,32768,burst+flash+zero,61.8,23.6112,31.53,2778.26,6.74,0.22
