bw,dim,gpus,seqlen,method,mem,time,tflops,toks,params,std
low,7b,8,1024,tp+flash,7.33,1.3804,3.8,744.33,6.74,0.06
low,7b,8,1024,tp+sp,7.65,1.3755,3.86,755.05,6.74,0.06
low,7b,8,1024,tp+sp+flash,7.33,1.373,3.86,756.71,6.74,0.05
low,7b,8,1024,burst,26.72,1.1255,4.83,945.45,6.74,0.09
low,7b,8,1024,burst+flash,26.69,1.051,5.1,999.29,6.74,0.09
low,7b,8,1024,burst+flash+zero,5.65,5.5724,0.94,183.86,6.74,0.01
low,7b,8,1024,ring,26.94,1.1614,4.56,893.3,6.74,0.07
low,7b,8,2048,tp+flash,10.42,1.6803,6.54,1232.67,6.74,0.05
low,7b,8,2048,tp+sp,11.53,1.8048,6.07,1144.17,6.74,0.03
low,7b,8,2048,tp+sp+flash,10.42,1.7174,6.49,1222.93,6.74,0.08
low,7b,8,2048,burst,27.6,0.8107,13.44,2532.06,6.74,0.05
low,7b,8,2048,burst+flash,27.55,0.7655,14.32,2698.21,6.74,0.03
low,7b,8,2048,burst+flash+zero,6.42,5.6457,1.93,362.75,6.74,0.0
low,7b,8,2048,ring,28.54,0.9262,11.86,2233.36,6.74,0.03
low,7b,8,4096,tp+flash,16.56,2.3378,10.01,1752.06,6.74,0.01
low,7b,8,4096,tp+sp,20.78,2.4023,9.75,1706.67,6.74,0.01
low,7b,8,4096,tp+sp+flash,16.56,2.308,10.2,1785.73,6.74,0.03
low,7b,8,4096,burst,29.32,1.578,14.86,2601.43,6.74,0.05
low,7b,8,4096,burst+flash,29.23,1.6225,14.56,2550.08,6.74,0.05
low,7b,8,4096,burst+flash+zero,7.93,6.1703,3.79,663.82,6.74,0.01
low,7b,8,4096,ring,33.2,1.4878,15.72,2753.08,6.74,0.02
low,7b,8,8192,tp+flash,28.9,3.6833,14.57,2235.51,6.74,0.06
low,7b,8,8192,tp+sp,45.33,3.5417,15.09,2315.98,6.74,0.03
low,7b,8,8192,tp+sp+flash,28.9,3.661,14.63,2244.91,6.74,0.03
low,7b,8,8192,burst,33.05,2.3026,23.21,3561.68,6.74,0.02
low,7b,8,8192,burst+flash,32.93,3.0813,17.41,2672.39,6.74,0.06
low,7b,8,8192,burst+flash+zero,11.02,7.3371,7.28,1116.64,6.74,0.06
low,7b,8,8192,ring,48.97,2.9209,18.31,2809.93,6.74,0.01
low,7b,8,16384,tp+flash,53.54,6.9971,19.05,2344.13,6.74,0.02
low,7b,8,16384,tp+sp,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,16384,tp+sp+flash,53.54,7.0803,18.84,2317.91,6.74,0.03
low,7b,8,16384,burst,40.51,4.3927,30.32,3730.52,6.74,0.01
low,7b,8,16384,burst+flash,40.26,5.1835,25.69,3160.79,6.74,0.15
low,7b,8,16384,burst+flash+zero,18.29,9.1606,14.53,1788.53,6.74,0.01
low,7b,8,16384,ring,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,32768,tp+flash,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,32768,tp+sp,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,32768,tp+sp+flash,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,32768,burst,55.91,9.8363,37.81,3332.09,6.74,0.01
low,7b,8,32768,burst+flash,54.69,9.9343,37.46,3301.09,6.74,0.02
low,7b,8,32768,burst+flash+zero,32.72,14.2263,26.14,2303.35,6.74,0.01
low,7b,8,32768,ring,NaN,NaN,NaN,NaN,NaN,NaN
bw,dim,gpus,seqlen,method,mem,time,tflops,toks,params,std
low,7b,8,1024,tp+sp+flash,5.12,1.252,4.2,823.11,6.74,0.06
low,7b,8,1024,tp+sp,5.44,1.1807,4.49,879.0,6.74,0.04
low,7b,8,1024,tp+flash,7.33,1.318,3.99,781.43,6.74,0.04
low,7b,8,2048,tp+sp+flash,5.98,1.2799,8.57,1613.91,6.74,0.03
low,7b,8,2048,tp+sp,7.07,1.271,8.61,1621.19,6.74,0.04
low,7b,8,2048,tp+flash,10.42,1.6711,6.57,1237.52,6.74,0.03
low,7b,8,4096,tp+sp+flash,7.64,2.1042,11.12,1946.63,6.74,0.01
low,7b,8,4096,tp+sp,11.87,2.075,11.27,1974.28,6.74,0.01
low,7b,8,4096,tp+flash,16.56,2.2904,10.25,1794.7,6.74,0.02
low,7b,8,8192,tp+sp+flash,11.09,4.1591,12.84,1970.04,6.74,0.01
low,7b,8,8192,tp+sp,27.83,4.1552,12.85,1971.83,6.74,0.01
low,7b,8,8192,tp+flash,28.9,3.6773,14.57,2235.76,6.74,0.07
low,7b,8,16384,tp+sp+flash,17.87,8.4621,15.73,1936.17,6.74,0.01
low,7b,8,16384,tp+sp,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,16384,tp+flash,53.54,7.0388,18.95,2331.68,6.74,0.03
low,7b,8,32768,tp+sp+flash,31.43,18.0921,20.55,1811.18,6.74,0.09
low,7b,8,32768,tp+sp,NaN,NaN,NaN,NaN,NaN,NaN
low,7b,8,32768,tp+flash,NaN,NaN,NaN,NaN,NaN,NaN
